0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:10:18 -0500] "OPTIONS /AuthenticationApplication/api/scenario/1 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:10:18 -0500] "GET /AuthenticationApplication/api/scenario/1 HTTP/1.1" 200 1619
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:12:38 -0500] "GET /AuthenticationApplication/api/scenario HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:12:42 -0500] "GET /AuthenticationApplication/api/scenario/2 HTTP/1.1" 200 1587
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:13:02 -0500] "GET /AuthenticationApplication/api/scenario HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:13:06 -0500] "GET /AuthenticationApplication/api/scenario/2 HTTP/1.1" 200 1587
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:14:17 -0500] "GET /AuthenticationApplication/api/scenario HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:14:35 -0500] "GET /AuthenticationApplication/api/scenario/1 HTTP/1.1" 200 1619
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:15:26 -0500] "GET /AuthenticationApplication/api/scenario HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:15:31 -0500] "GET /AuthenticationApplication/api/scenario/2 HTTP/1.1" 200 1587
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:18:17 -0500] "GET /AuthenticationApplication/api/scenario/2 HTTP/1.1" 200 1587
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:22:07 -0500] "OPTIONS /AuthenticationApplication/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:22:07 -0500] "POST /AuthenticationApplication/login HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:22:07 -0500] "OPTIONS /AuthenticationApplication/api/admin HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:22:07 -0500] "GET /AuthenticationApplication/api/admin/teacher HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:22:07 -0500] "GET /AuthenticationApplication/api/teacher/students HTTP/1.1" 200 256
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:22:07 -0500] "GET /AuthenticationApplication/api/admin HTTP/1.1" 200 625
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:22:10 -0500] "GET /AuthenticationApplication/api/scenario HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:22:11 -0500] "OPTIONS /AuthenticationApplication/api/scenario/1 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:22:11 -0500] "GET /AuthenticationApplication/api/scenario/1 HTTP/1.1" 200 1619
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:25:24 -0500] "GET /AuthenticationApplication/api/admin HTTP/1.1" 200 625
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:25:24 -0500] "GET /AuthenticationApplication/api/admin/teacher HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:25:24 -0500] "GET /AuthenticationApplication/api/teacher/students HTTP/1.1" 200 256
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:25:28 -0500] "GET /AuthenticationApplication/api/scenario HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:25:29 -0500] "GET /AuthenticationApplication/api/scenario/1 HTTP/1.1" 200 1619
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:26:42 -0500] "OPTIONS /AuthenticationApplication/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:26:42 -0500] "POST /AuthenticationApplication/login HTTP/1.1" 200 198
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:26:44 -0500] "GET /AuthenticationApplication/api/scenario HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:26:50 -0500] "OPTIONS /AuthenticationApplication/api/scenario/1 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:26:50 -0500] "GET /AuthenticationApplication/api/scenario/1 HTTP/1.1" 200 1619
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:27:09 -0500] "GET /AuthenticationApplication/api/scenario HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:27:14 -0500] "OPTIONS /AuthenticationApplication/api/scenario/1 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:27:14 -0500] "GET /AuthenticationApplication/api/scenario/1 HTTP/1.1" 200 1619
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:34:09 -0500] "GET /AuthenticationApplication/api/scenario HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:34:11 -0500] "OPTIONS /AuthenticationApplication/api/scenario/1 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:34:11 -0500] "GET /AuthenticationApplication/api/scenario/1 HTTP/1.1" 200 1619
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:34:21 -0500] "GET /AuthenticationApplication/api/scenario HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:34:23 -0500] "GET /AuthenticationApplication/api/scenario/1 HTTP/1.1" 200 1619
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:34:54 -0500] "OPTIONS /AuthenticationApplication/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:34:55 -0500] "POST /AuthenticationApplication/login HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:34:55 -0500] "OPTIONS /AuthenticationApplication/api/admin HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:34:55 -0500] "GET /AuthenticationApplication/api/teacher/students HTTP/1.1" 200 256
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:34:55 -0500] "GET /AuthenticationApplication/api/admin/teacher HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:34:55 -0500] "GET /AuthenticationApplication/api/admin HTTP/1.1" 200 625
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:34:57 -0500] "GET /AuthenticationApplication/api/scenario HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:34:58 -0500] "OPTIONS /AuthenticationApplication/api/scenario/1 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:34:58 -0500] "GET /AuthenticationApplication/api/scenario/1 HTTP/1.1" 200 1619
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:35:10 -0500] "GET /AuthenticationApplication/api/scenario HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:35:13 -0500] "OPTIONS /AuthenticationApplication/api/scenario/2 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:35:13 -0500] "GET /AuthenticationApplication/api/scenario/2 HTTP/1.1" 200 1587
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:35:32 -0500] "GET /AuthenticationApplication/api/scenario/2 HTTP/1.1" 200 1587
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:35:33 -0500] "GET /AuthenticationApplication/api/scenario HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:35:35 -0500] "GET /AuthenticationApplication/api/scenario/1 HTTP/1.1" 200 1619
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:35:43 -0500] "GET /AuthenticationApplication/api/scenario HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:35:46 -0500] "GET /AuthenticationApplication/api/scenario/2 HTTP/1.1" 200 1587
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:36:41 -0500] "GET /AuthenticationApplication/api/scenario HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:36:43 -0500] "GET /AuthenticationApplication/api/scenario/1 HTTP/1.1" 200 1619
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:37:06 -0500] "GET /AuthenticationApplication/api/scenario HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:37:10 -0500] "OPTIONS /AuthenticationApplication/api/scenario/3 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:37:10 -0500] "GET /AuthenticationApplication/api/scenario/3 HTTP/1.1" 200 1552
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:37:50 -0500] "GET /AuthenticationApplication/api/scenario HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:37:52 -0500] "GET /AuthenticationApplication/api/scenario/1 HTTP/1.1" 200 1619
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:38:07 -0500] "GET /AuthenticationApplication/api/scenario HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:38:09 -0500] "GET /AuthenticationApplication/api/scenario/1 HTTP/1.1" 200 1619
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:38:36 -0500] "GET /AuthenticationApplication/api/scenario HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:38:39 -0500] "GET /AuthenticationApplication/api/scenario/3 HTTP/1.1" 200 1552
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:39:25 -0500] "GET /AuthenticationApplication/api/scenario/3 HTTP/1.1" 200 1552
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:39:47 -0500] "GET /AuthenticationApplication/api/scenario HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:39:49 -0500] "GET /AuthenticationApplication/api/scenario/3 HTTP/1.1" 200 1552
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:39:54 -0500] "GET /AuthenticationApplication/api/scenario HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:39:58 -0500] "GET /AuthenticationApplication/api/scenario/2 HTTP/1.1" 200 1587
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:40:26 -0500] "GET /AuthenticationApplication/api/scenario HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:40:29 -0500] "GET /AuthenticationApplication/api/scenario/1 HTTP/1.1" 200 1619
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:40:51 -0500] "GET /AuthenticationApplication/api/scenario HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:41:16 -0500] "GET /AuthenticationApplication/api/scenario HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:41:18 -0500] "GET /AuthenticationApplication/api/scenario/1 HTTP/1.1" 200 1619
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:41:32 -0500] "GET /AuthenticationApplication/api/scenario HTTP/1.1" 200 462
